"species","Longitude","Latitude","gbifID"
"Osmunda regalis",8.74517,42.25259,4050803738
"Osmunda regalis",7.42919,48.92622,4050804122
"Osmunda regalis",1.70647,48.74399,4050815882
"Osmunda regalis",4.79118,49.9391,4050881133
"Osmunda regalis",7.21453,48.57545,4050881205
"Osmunda regalis",4.56939,49.91445,4050913458
"Osmunda regalis",4.01017,47.34477,4051028756
"Osmunda regalis",-1.34437,43.26766,4051041537
"Osmunda regalis",7.12065,48.44623,4051041622
"Osmunda regalis",9.09215,42.29822,4051052336
"Osmunda regalis",-1.55583,48.19515,4051082466
"Osmunda regalis",7.1294,48.42532,4051094110
"Osmunda regalis",-1.12924,45.21652,4051969947
"Osmunda regalis",7.36006,48.58349,4051978133
"Osmunda regalis",4.56912,49.91463,4051987424
"Osmunda regalis",-0.78495,43.0891,4051988249
"Osmunda regalis",3.10513,47.185,4051996896
"Osmunda regalis",7.99733,48.86043,4051998444
"Osmunda regalis",-0.4448,48.59444,4052014015
"Osmunda regalis",8.74516,42.25267,4052017152
"Osmunda regalis",2.25491,44.78578,4052020635
"Osmunda regalis",-0.49795,48.62319,4052034785
"Osmunda regalis",4.81637,49.94805,4052048767
"Osmunda regalis",-0.39749,48.55784,4051695304
"Osmunda regalis",4.57902,49.95415,4051706550
"Osmunda regalis",2.65978,49.1546,4051739322
"Osmunda regalis",-1.12835,45.21748,4051740137
"Osmunda regalis",2.16822,45.08567,4051763624
"Osmunda regalis",9.15958,42.47979,4051805166
"Osmunda regalis",7.06051,48.58066,4051805194
"Osmunda regalis",4.56917,49.91461,4051812528
"Osmunda regalis",7.22991,48.57954,4051829666
"Osmunda regalis",4.79289,49.93874,4051837583
"Osmunda regalis",4.08052,44.4427,4051844618
"Osmunda regalis",0.35208,47.20753,4051892523
"Osmunda regalis",0.61286,48.59512,4051892968
"Osmunda regalis",4.56922,49.91449,4051901929
"Osmunda regalis",4.56941,49.91441,4051902244
"Osmunda regalis",7.01782,48.52658,4051968294
"Osmunda regalis",2.7777,43.55147,4051985657
"Osmunda regalis",7.35998,48.58363,4051994566
"Osmunda regalis",1.71272,48.7188,4052000770
"Osmunda regalis",0.52286,48.39609,4052012800
"Osmunda regalis",8.77637,42.25062,4052022870
"Osmunda regalis",4.5693,49.91484,4052026025
"Osmunda regalis",0.42009,47.21013,4052030863
"Osmunda regalis",8.00126,48.85335,4052035494
"Osmunda regalis",2.24312,47.99117,4052049379
"Osmunda regalis",4.79145,49.93895,4052052665
"Osmunda regalis",1.71821,48.73887,4052054674
"Osmunda regalis",4.78885,49.90402,4052057272
"Osmunda regalis",9.14672,42.2011,4051703025
"Osmunda regalis",4.56945,49.9147,4051721402
"Osmunda regalis",4.08724,44.33062,4051738018
"Osmunda regalis",4.79347,49.9385,4051769005
"Osmunda regalis",0.47785,48.39881,4051783374
"Osmunda regalis",2.65978,49.1546,4051817307
"Osmunda regalis",7.36138,48.58359,4051817996
"Osmunda regalis",7.42976,48.92531,4051866086
"Osmunda regalis",1.71429,48.71441,4051872364
"Osmunda regalis",5.77622,47.10339,4051872519
"Osmunda regalis",6.36217,43.19689,4051872902
"Osmunda regalis",4.56923,49.9146,4051915850
"Osmunda regalis",1.83356,49.48251,4051923348
"Osmunda regalis",6.95658,48.43107,4051940230
"Osmunda regalis",7.39624,48.41994,4051949556
"Osmunda regalis",1.71319,48.71743,4050717052
"Osmunda regalis",1.65477,47.61753,4050737189
"Osmunda regalis",7.02299,48.5256,4050758558
"Osmunda regalis",7.95928,48.86049,4050777850
"Osmunda regalis",3.30687,47.19908,4050821822
"Osmunda regalis",7.02995,48.44539,4050867746
"Osmunda regalis",2.27233,44.75773,4050867814
"Osmunda regalis",1.46956,46.00537,4050878732
"Osmunda regalis",7.12148,48.44678,4050889499
"Osmunda regalis",4.10299,44.32533,4050923242
"Osmunda regalis",-0.92545,43.29003,4050944823
"Osmunda regalis",2.26061,44.68564,4051583583
"Osmunda regalis",-1.23637,44.75965,4051423030
"Osmunda regalis",7.12512,48.44946,4051433335
"Osmunda regalis",1.45971,49.36652,4051637617
"Osmunda regalis",6.20748,48.01813,4051648279
"Osmunda regalis",5.77051,47.09988,4051657602
"Osmunda regalis",3.30723,47.19916,4051658291
"Osmunda regalis",2.43571,47.303,4051478024
"Osmunda regalis",2.19288,45.01826,4051487785
"Osmunda regalis",1.97316,48.68193,4051498330
"Osmunda regalis",-1.34437,43.26766,4051498853
"Osmunda regalis",-0.4448,48.59444,4051499066
"Osmunda regalis",4.79294,49.93876,4051538721
"Osmunda regalis",4.79289,49.93874,4051736028
"Osmunda regalis",1.72132,48.71222,4051736141
"Osmunda regalis",-1.05814,48.82181,4051749353
"Osmunda regalis",3.30645,47.19739,4051578723
"Osmunda regalis",4.79349,49.93851,4051756852
"Osmunda regalis",2.5753,47.79515,4051585691
"Osmunda regalis",6.88275,48.28513,4051780434
"Osmunda regalis",3.30624,47.19426,4051608991
"Osmunda regalis",1.71792,48.73878,4051620019
"Osmunda regalis",2.33081,49.01028,4051816159
"Osmunda regalis",-0.33643,48.53768,4051848377
"Osmunda regalis",2.65978,49.1546,4051856405
"Osmunda regalis",2.27323,44.68572,4051717983
"Osmunda regalis",4.94045,48.76471,4051874171
"Osmunda regalis",7.44739,48.95472,4051889927
"Osmunda regalis",4.56945,49.91459,4051899088
"Osmunda regalis",-1.14067,44.86698,4565028325
"Todea barbara",150.76346,-34.690855,1072211999
"Todea barbara",151.235581,-33.840525,3497221472
"Todea barbara",152.397161,-30.505099,1073373122
"Todea barbara",150.519097,-34.713816,1073670218
"Todea barbara",150.312258,-33.62552,1935486763
"Todea barbara",151.320488,-33.594787,1069883765
"Todea barbara",150.766289,-34.691168,1072211880
"Todea barbara",149.448787,-37.031006,1075086607
"Todea barbara",151.252778,-33.151442,1073430798
"Todea barbara",150.223927,-33.411287,4142081100
"Todea barbara",151.264723,-33.742745,4142157413
"Todea barbara",150.237447,-34.499972,1072391195
"Todea barbara",151.25475,-33.71775,1073264198
"Todea barbara",150.589913,-34.168619,2806132326
"Leptopteris fraseri",150.312183,-33.624473,1935508996
"Todea barbara",149.881534,-37.386227,1069507023
"Todea barbara",150.211313,-33.357878,1073680584
"Todea barbara",150.76526,-33.329129,1073258554
"Todea barbara",150.655409,-34.670319,2421024703
"Leptopteris fraseri",152.237227,-31.21587,1073359893
"Todea barbara",151.166261,-33.447922,1073852701
"Todea barbara",150.616161,-34.658451,2420893141
"Todea barbara",151.014323,-33.416605,1073297148
"Todea barbara",152.322138,-31.212799,1073351463
"Todea barbara",150.077889,-33.33375,1071620186
"Todea barbara",149.403563,-37.036978,1070708539
"Todea barbara",152.370294,-31.156068,1073786333
"Todea barbara",150.739293,-34.679275,1072211653
"Todea barbara",150.777748,-34.349345,1071433513
"Leptopteris fraseri",152.250548,-31.203629,1074611576
"Todea barbara",150.304035,-33.524799,1073247384
"Todea barbara",151.281338,-33.671251,1451965876
"Todea barbara",150.83334,-35.051633,1072273834
"Todea barbara",151.412164,-33.397972,1074387973
"Todea barbara",151.125711,-33.652411,1071563226
"Todea barbara",150.311751,-33.628525,5061064134
"Todea barbara",151.25164,-33.715661,3366185390
"Todea barbara",149.938681,-37.429245,1073572311
"Todea barbara",151.333694,-33.396111,1072998476
"Todea barbara",152.419684,-29.543635,1073328961
"Todea barbara",151.238853,-33.177084,5068063981
"Todea barbara",152.117773,-29.396322,1073346146
"Todea barbara",150.565581,-34.688291,2420870170
"Todea barbara",152.39399,-29.577147,1073329126
"Todea barbara",150.315708,-33.729508,1073248031
"Todea barbara",149.822409,-32.399924,4012248540
"Todea barbara",150.630057,-34.714093,2421561040
"Todea barbara",150.256881,-34.294849,1452996616
"Todea barbara",150.574122,-34.169593,2805887677
"Todea barbara",152.506464,-32.043024,1071820245
"Todea barbara",151.229641,-33.157888,4982525471
"Todea barbara",150.270544,-33.626445,1073603318
"Todea barbara",150.360129,-33.721595,1071771526
"Todea barbara",151.184951,-33.55516,1069897134
"Todea barbara",149.404955,-36.661988,1070700002
"Todea barbara",149.946711,-34.079729,1071484288
"Todea barbara",149.914086,-37.381819,1073521623
"Todea barbara",153.287672,-29.813067,1071607096
"Todea barbara",151.087047,-33.635923,1070813010
"Todea barbara",150.398023,-34.360614,1073587044
"Todea barbara",151.47837,-32.011023,1073352327
"Todea barbara",151.140981,-33.752859,5010915349
"Todea barbara",150.732912,-34.423381,1071444514
"Todea barbara",150.299298,-33.567015,1074274243
"Todea barbara",153.159102,-28.270811,1073373189
"Todea barbara",151.294651,-33.725551,1935503361
"Todea barbara",151.906449,-31.832643,4075162563
"Todea barbara",150.242902,-34.675358,1452189052
"Todea barbara",152.288604,-31.135913,1071556250
"Todea barbara",151.393986,-33.430671,1916572405
"Todea barbara",150.525798,-33.696824,1069634883
"Todea barbara",152.369399,-31.155445,1069922928
"Todea barbara",150.312183,-33.624473,1935559603
"Todea barbara",149.388963,-37.048178,1069499492
"Todea barbara",151.007578,-33.405742,1070397537
"Todea barbara",150.05355,-33.110823,5061094119
"Todea barbara",150.450171,-33.574004,1935487101
"Todea barbara",150.301307,-33.39333,1074297474
"Todea barbara",150.373817,-33.50962,2421071722
"Todea barbara",151.274949,-33.687206,1074815708
"Todea barbara",153.556507,-28.562653,1073004852
"Todea barbara",150.85048,-33.817244,1072035797
"Todea barbara",151.86842,-31.330821,1452206762
"Todea barbara",150.6662,-34.730834,1073374782
"Todea barbara",151.299113,-33.492661,1074272902
"Todea barbara",151.284591,-33.684079,1805906409
"Todea barbara",151.083155,-33.543884,1071386770
"Todea barbara",150.925901,-33.662846,1069994650
"Todea barbara",150.536674,-34.340952,1074889465
"Todea barbara",151.247547,-33.71792,1935456183
"Todea barbara",151.178657,-33.544153,1070400363
"Leptopteris fraseri",152.235808,-31.2083,1073359761
"Todea barbara",150.827023,-34.385717,1069705667
"Todea barbara",152.830838,-30.219122,1073323139
"Todea barbara",150.54818,-33.991166,1073254730
"Todea barbara",151.139534,-33.774725,1073313380
"Todea barbara",150.313992,-34.04039,1073203516
"Todea barbara",150.242984,-33.315861,1070022581
"Todea barbara",150.30439,-33.701,1500209360
"Todea barbara",151.264114,-33.359618,1073754713
"Todea barbara",151.059269,-33.636484,1070085499
"Todea barbara",151.030791,-33.52809,1073298202
"Todea barbara",149.802394,-32.212706,5061063437
"Todea barbara",150.330711,-33.701967,1071820069
"Todea barbara",151.04344,-33.525951,1070146696
"Todea barbara",150.477093,-33.49645,2421205654
"Todea barbara",153.038588,-30.417547,1073432935
"Todea barbara",150.840659,-34.190306,1070174655
"Todea barbara",149.388938,-37.048172,1073517455
"Todea barbara",151.100027,-33.209004,5088698758
"Todea barbara",149.788909,-37.034483,1073534235
"Todea barbara",150.850597,-34.37731,1073224401
"Todea barbara",151.036054,-33.459913,1070822893
"Todea barbara",150.71925,-34.686645,1072211790
"Todea barbara",150.399496,-34.291816,1073701441
"Todea barbara",151.215646,-33.685913,1069883812
"Todea barbara",151.136291,-33.599164,1070088686
"Todea barbara",150.914651,-34.042768,1073090269
"Todea barbara",151.196276,-33.847287,1935525341
"Todea barbara",151.838791,-31.27238,1074411541
"Todea barbara",150.38734,-33.727268,1069917120
"Todea barbara",150.271181,-33.730776,1073248290
"Todea barbara",150.717833,-34.433405,1071439959
"Todea barbara",152.360106,-30.520705,1073359530
"Todea barbara",150.556118,-34.642896,1073371422
"Todea barbara",150.453116,-34.372597,1071696923
"Todea barbara",150.630057,-34.714093,2421468557
"Todea barbara",150.41171,-33.72172,1935367748
"Todea barbara",151.214279,-33.438354,1074750387
"Todea barbara",150.453112,-34.207839,1073658790
"Todea barbara",151.075464,-34.163963,1072473161
"Todea barbara",153.426832,-28.342349,3365537035
"Todea barbara",152.314206,-29.687903,1451867575
"Todea barbara",151.27466,-33.51171,1072613735
"Todea barbara",149.388963,-37.048178,1070707771
